State,Action,Q-value
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",3,86.39153428288128
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",2,82.33833701135251
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",1,88.62037710336656
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",4,83.72068362516195
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",0,105.83430372592964
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",1,89.48243283198426
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",0,101.18954401329033
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,51.0909642605982
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,81.32891648038157
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,80.7602564744122
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,27.424010802630264
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,49.333339185469164
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,52.08119725881464
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,99.56728364777567
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,48.72875387618404
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,32.84524966861137
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,49.3826379246852
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,29.659010943819727
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,99.93522200040063
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,-35.24997035234783
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,-31.931744164773352
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,-70.47759590820624
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,-60.95939223348107
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,-62.491465329246
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",3,97.52341341308981
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",0,79.54458400815297
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",2,62.128314906554166
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,60.68180821042068
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,70.65246956531011
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,48.44308972209746
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",1,92.153745397786
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",4,67.9481554613599
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",2,87.48126662077365
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",3,89.30923370466805
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",4,90.15741876645484
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",3,69.05352637747997
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",4,96.49243820573821
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",1,61.26454761629133
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",0,85.3033481290513
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",1,57.529769478037124
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",4,99.00021865434258
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",3,67.91687913918175
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",2,91.2287394533433
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",0,77.79780973419096
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",1,27.423221441014185
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",3,47.43526102464107
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",2,97.04476953778348
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",4,48.7102407151102
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",0,47.4228398209669
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",2,98.55019557463353
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",1,24.99318389577465
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",4,47.03512558071006
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",3,42.792475803869024
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",0,45.24282065906403
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",2,90.23068725066605
