State,Action,Q-value
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",3,95.91938255364995
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",1,94.97892097575838
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",2,93.14314915137618
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",4,94.94215356472333
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",4,92.15838085402568
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",1,83.97924373875951
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",4,67.26487618389275
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",0,101.15193901109497
"0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",2,94.66955908790496
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",2,56.719122274271875
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",3,87.76389726797076
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",2,93.47141935080691
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",1,94.48131122615955
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",0,120.78942621505662
"0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0",3,97.17571559696326
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",1,58.80014593616458
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",4,98.61616733970294
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",0,84.84313328030755
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,77.89997253738335
"0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",0,80.00298731025052
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,55.44257335537599
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,48.124377217152066
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,41.131029373403955
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,23.673049818447122
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,-50.09558099493187
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,-61.745323959330776
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,-54.76903422800149
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,-56.39270518713756
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,-75.48811465342352
"0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",3,69.10550805027967
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,41.663894964256
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,40.80946788757177
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,46.79170328559151
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,33.757550634018614
"0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,101.13495699792944
"1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3,41.72129876103086
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2,48.82208948137786
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1,87.84633302836558
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,67.53187046863276
"0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4,55.405153035696515
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",4,98.36452771239385
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",3,63.05732414960719
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",4,37.43528513429099
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",3,34.00984904596923
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",2,95.90038023241928
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",1,52.22289179590491
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",1,-18.0
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",0,-7.001729106668314
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",3,-14.4
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0",2,53.95888170291733
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",1,26.3417679062988
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",0,32.11486200512656
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",2,86.0594913924572
"0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",0,74.19734219902281
